format,algo,min_bpb_neon,n_rows_git,distinct_seeds_git,distinct_sha_git,max_step_git,synthetic_flag_R7,reason
int32,muon,6.9223,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
int32,sgdm,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
int32,lion,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
int32,adafactor,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
int32,lamb,6.7362,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
int32,schedulefree,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
int32,rmsprop,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
uint8,adamw,6.2915,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
uint8,muon,7.0000,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
uint8,sgdm,6.9976,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
uint8,lion,6.9541,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
uint8,adafactor,7.0000,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
uint8,lamb,6.4844,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
uint8,schedulefree,7.0000,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
uint8,rmsprop,7.0000,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
nf4,adamw,7.0000,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
nf4,muon,7.0000,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
nf4,sgdm,7.0000,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
nf4,lion,7.0000,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
nf4,adafactor,7.0000,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
nf4,lamb,7.0000,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
nf4,schedulefree,6.9941,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
nf4,rmsprop,7.0000,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
nf8,adamw,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
nf8,muon,7.0003,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
nf8,sgdm,7.0003,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
nf8,lion,7.0003,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
nf8,adafactor,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
nf8,lamb,7.0003,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
nf8,schedulefree,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
nf8,rmsprop,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit8,adamw,6.5775,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit8,muon,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit8,sgdm,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit8,lion,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit8,adafactor,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit8,lamb,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit8,schedulefree,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit8,rmsprop,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit16,adamw,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit16,muon,6.9222,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit16,sgdm,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit16,lion,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit16,adafactor,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit16,lamb,6.7343,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit16,schedulefree,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit16,rmsprop,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit32,adamw,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit32,muon,6.9223,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit32,sgdm,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit32,lion,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit32,adafactor,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit32,lamb,6.7362,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit32,schedulefree,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit32,rmsprop,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit64,adamw,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit64,muon,6.9223,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit64,sgdm,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit64,lion,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit64,adafactor,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit64,lamb,6.7362,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit64,schedulefree,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
posit64,rmsprop,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
lns8,adamw,6.5775,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
lns8,muon,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
lns8,sgdm,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
lns8,lion,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
